2021-03-14 10:54:22.635 [lettuce-nioEventLoop-4-2] WARN  io.lettuce.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.0.103:6379]: Connection refused: no further information: /192.168.0.103:6379
2021-03-14 10:54:28.925 [lettuce-nioEventLoop-4-1] WARN  io.lettuce.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.0.103:6379]: Connection refused: no further information: /192.168.0.103:6379
2021-03-14 10:55:15.682 [http-nio-8080-exec-4] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/seckill?serverTimezone=GMT%2B8&useUnicode=true&characterEncoding=utf-8&useSSL=true, version : 1.2.4, lastPacketReceivedIdleMillis : 202408
2021-03-14 10:55:15.683 [http-nio-8080-exec-4] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/seckill?serverTimezone=GMT%2B8&useUnicode=true&characterEncoding=utf-8&useSSL=true, version : 1.2.4, lastPacketReceivedIdleMillis : 215954
2021-03-14 10:55:15.686 [http-nio-8080-exec-4] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/seckill?serverTimezone=GMT%2B8&useUnicode=true&characterEncoding=utf-8&useSSL=true, version : 1.2.4, lastPacketReceivedIdleMillis : 215971
2021-03-14 10:55:15.688 [http-nio-8080-exec-4] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/seckill?serverTimezone=GMT%2B8&useUnicode=true&characterEncoding=utf-8&useSSL=true, version : 1.2.4, lastPacketReceivedIdleMillis : 215989
2021-03-14 10:55:15.690 [http-nio-8080-exec-4] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/seckill?serverTimezone=GMT%2B8&useUnicode=true&characterEncoding=utf-8&useSSL=true, version : 1.2.4, lastPacketReceivedIdleMillis : 216011
2021-03-14 10:59:06.985 [http-nio-8080-exec-10] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/seckill?serverTimezone=GMT%2B8&useUnicode=true&characterEncoding=utf-8&useSSL=true, version : 1.2.4, lastPacketReceivedIdleMillis : 231276
2021-03-14 11:03:22.360 [http-nio-8080-exec-1] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/seckill?serverTimezone=GMT%2B8&useUnicode=true&characterEncoding=utf-8&useSSL=true, version : 1.2.4, lastPacketReceivedIdleMillis : 200187
2021-03-14 11:04:51.463 [Thread-3] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/seckill?serverTimezone=GMT%2B8&useUnicode=true&characterEncoding=utf-8&useSSL=true, version : 1.2.4, lastPacketReceivedIdleMillis : 89079
2021-03-14 11:18:17.682 [http-nio-8080-exec-5] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/seckill?serverTimezone=GMT%2B8&useUnicode=true&characterEncoding=utf-8&useSSL=true, version : 1.2.4, lastPacketReceivedIdleMillis : 806178
2021-03-14 14:33:23.853 [http-nio-8080-exec-1] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/seckill?serverTimezone=GMT%2B8&useUnicode=true&characterEncoding=utf-8&useSSL=true, version : 1.2.4, lastPacketReceivedIdleMillis : 2570810
2021-03-14 14:33:23.855 [http-nio-8080-exec-1] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/seckill?serverTimezone=GMT%2B8&useUnicode=true&characterEncoding=utf-8&useSSL=true, version : 1.2.4, lastPacketReceivedIdleMillis : 2570847
2021-03-14 14:33:23.857 [http-nio-8080-exec-1] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/seckill?serverTimezone=GMT%2B8&useUnicode=true&characterEncoding=utf-8&useSSL=true, version : 1.2.4, lastPacketReceivedIdleMillis : 2570870
2021-03-14 14:33:23.859 [http-nio-8080-exec-1] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/seckill?serverTimezone=GMT%2B8&useUnicode=true&characterEncoding=utf-8&useSSL=true, version : 1.2.4, lastPacketReceivedIdleMillis : 2570897
2021-03-14 14:33:23.862 [http-nio-8080-exec-1] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/seckill?serverTimezone=GMT%2B8&useUnicode=true&characterEncoding=utf-8&useSSL=true, version : 1.2.4, lastPacketReceivedIdleMillis : 2570940
